title,url,publish_date,matching_keyword,word_count,html_file,markdown_file
ALLAH SAID CHRISTIANS AND JEWS DO NOT NEED TO CONVERT TO ISLAM TO ENTER ...,https://www.maxshimbaministries.org/2026/01/allah-said-christians-and-jews-do-not.html,"January 16, 2026",islam,0,,
"Jesus prophesied about Muhammad,  yes He did it",https://www.maxshimbaministries.org/2026/01/jesus-prophesied-about-muhammad-yes-he.html,"January 16, 2026",muhammad,0,,
Allah and Muhammad NEVER SAID the Bible is corrupted or not the word of God,https://www.maxshimbaministries.org/2026/01/allah-and-muhammad-never-said-bible-is.html,"January 16, 2026",muhammad,0,,
Where is the copy of the book revealed to Abraham by Allah?,https://www.maxshimbaministries.org/2026/01/where-is-copy-of-book-revealed-to.html,"January 15, 2026",allah,0,,
ALLAH IS ONE OF MANY CREATORS IN THE QUR'AN,https://www.maxshimbaministries.org/2026/01/allah-is-one-of-many-creators-in-quran.html,"January 15, 2026",allah,0,,
ALLAH IS ONE OF MANY CREATORS IN THE QUR'AN,https://www.maxshimbaministries.org/2026/01/allah-is-one-of-many-creators-in-quran_15.html,"January 15, 2026",allah,0,,
Allah said his words cannot be trusted.,https://www.maxshimbaministries.org/2026/01/allah-said-his-words-cannot-be-trusted.html,"January 14, 2026",allah,0,,
CONTRADICTIONS  IN THE QUR'AN,https://www.maxshimbaministries.org/2026/01/contradictions-in-quran.html,"January 13, 2026",muslim,2068,,
Who was the first Muslim?Contradictions in the Qur’an,https://www.maxshimbaministries.org/2026/01/who-was-first-muslimcontradictions-in.html,"January 13, 2026",muslim,0,,
Jesus is God Al-Ba'ith according to the Quran,https://www.maxshimbaministries.org/2026/01/jesus-is-god-al-baith-according-to-quran.html,"January 07, 2026",quran,0,,
Jesus is God Al Hadi according to the Quran,https://www.maxshimbaministries.org/2026/01/jesus-is-god-al-hadi-according-to-quran.html,"January 07, 2026",quran,0,,
"Jesus is God and We Must Worship Him: Apostolic Confession, Patristic Witness, and Interfaith Theological Discourse",https://www.maxshimbaministries.org/2026/01/jesus-is-god-and-we-must-worship-him.html,"January 06, 2026",islam,710,,
"Music, Prophecy, and the Question of God: A Theological Critique of Islam’s Ban on Music",https://www.maxshimbaministries.org/2026/01/music-prophecy-and-question-of-god.html,"January 06, 2026",islam,879,,
Christ’s Finished Work and the Misconception of Prophetic Finality in Islam: An Intertextual and Hermeneutical Analysis,https://www.maxshimbaministries.org/2026/01/christs-finished-work-and-misconception.html,"January 06, 2026",islam,691,,
The Finished Work of Christ and the Misconception of Prophetic Finality in Islam,https://www.maxshimbaministries.org/2026/01/the-finished-work-of-christ-and.html,"January 06, 2026",islam,695,,
The Parable of the Two Builders: An Analogy Between Christianity and Islam,https://www.maxshimbaministries.org/2026/01/the-parable-of-two-builders-analogy.html,"January 06, 2026",islam,749,,
The Parable of the Two Builders: An Analogy Between Christianity and Islam,https://www.maxshimbaministries.org/2026/01/the-parable-of-two-builders-analogy_6.html,"January 06, 2026",islam,725,,
The Prophethood of Muhammad: A Critical Theological Evaluation,https://www.maxshimbaministries.org/2026/01/the-prophethood-of-muhammad-critical.html,"January 06, 2026",islam,787,,
The Prophethood of Muhammad,https://www.maxshimbaministries.org/2026/01/the-prophethood-of-muhammad.html,"January 06, 2026",muhammad,959,,
Where are the names of the Apostles of Jesus (ʿĪsā ibn Maryam) in the Qu...,https://www.maxshimbaministries.org/2026/01/where-are-names-of-apostles-of-jesus.html,"January 03, 2026",islam,431,,
Muhammad as a False Prophet in Light of Matthew 24:11,https://www.maxshimbaministries.org/2026/01/muhammad-as-false-prophet-in-light-of.html,"January 02, 2026",islam,905,,
Muhammad’s Role as a False Prophet,https://www.maxshimbaministries.org/2026/01/muhammads-role-as-false-prophet.html,"January 02, 2026",muhammad,658,,
Only Jesus Gives Eternal Life,https://www.maxshimbaministries.org/2026/01/only-jesus-gives-eternal-life.html,"January 02, 2026",islam,745,,
The Problem of Free Will in Islamic Theology,https://www.maxshimbaministries.org/2026/01/the-problem-of-free-will-in-islamic.html,"January 02, 2026",islam,678,,
Muhammad Died in Aisha’s Arms,https://www.maxshimbaministries.org/2026/01/muhammad-died-in-aishas-arms.html,"January 02, 2026",islam,691,,
An Academic Reassessment of Muhammad as Uswa Ḥasana (Qur’an 33:21),https://www.maxshimbaministries.org/2026/01/an-academic-reassessment-of-muhammad-as.html,"January 02, 2026",islam,352,,
"Jesus is Alive, Muhammad is Dead: A Biblical and Quranic Perspective",https://www.maxshimbaministries.org/2026/01/jesus-is-alive-muhammad-is-dead.html,"January 02, 2026",islam,529,,
"A Critical Examination of the Moon-God Theory, Pre-Islamic Arabia, and Qur’anic Theology",https://www.maxshimbaministries.org/2026/01/a-critical-examination-of-moon-god.html,"January 02, 2026",islam,610,,
Claim: Allah stopped speaking after the death of Waraqa ibn Nawfal.,https://www.maxshimbaministries.org/2026/01/claim-allah-stopped-speaking-after.html,"January 02, 2026",islam,257,,
A Theological and Textual Critique of Islamic Claims Concerning Biblical Faith,https://www.maxshimbaministries.org/2026/01/a-theological-and-textual-critique-of.html,"January 02, 2026",islam,721,,
THE GOD OF THE BIBLE VS. THE GOD OF ISLAM: A CALL TO DISCERNMENT,https://www.maxshimbaministries.org/2026/01/the-god-of-bible-vs-god-of-islam-call.html,"January 02, 2026",islam,749,,
Whatever We Are Doing Is Part of God’s Sovereign Will,https://www.maxshimbaministries.org/2026/01/whatever-we-are-doing-is-part-of-gods.html,"January 02, 2026",dua,630,,
Where is the evidence from Sahih Hadith where Muhammad is saying Paul wa...,https://www.maxshimbaministries.org/2026/01/where-is-evidence-from-sahih-hadith.html,"January 02, 2026",islam,413,,
Why is the wife of Adam not mentioned by name in the Quran?,https://www.maxshimbaministries.org/2026/01/why-is-wife-of-adam-not-mentioned-by.html,"January 02, 2026",quran,541,,
Provocative Questions on Adam’s Wife and the Quran’s Omissions,https://www.maxshimbaministries.org/2026/01/provocative-questions-on-adams-wife-and.html,"January 01, 2026",quran,524,,
"MUHAMMAD’S PARENTS WERE UNBELIEVERS, AND THEY DIED AS UNBELIEVERS",https://www.maxshimbaministries.org/2026/01/muhammads-parents-were-unbelievers-and.html,"January 01, 2026",muhammad,1594,,
THE GREAT CHARACTERISTIC OF A KAFIR IS DENYING THAT JESUS IS THE SON OF GOD,https://www.maxshimbaministries.org/2026/01/the-great-characteristic-of-kafir-is.html,"January 01, 2026",muslim,1120,,
"IN THE QURAN, CHRISTIANS ARE NOT CALLED INFIDELS (KAFIR)",https://www.maxshimbaministries.org/2026/01/in-quran-christians-are-not-called.html,"January 01, 2026",islam,850,,
Allah Has One Eye — So Allah Is an Infidel,https://www.maxshimbaministries.org/2026/01/allah-has-one-eye-so-allah-is-infidel.html,"January 01, 2026",muslim,198,,
ISLAM IS A RELIGION OF UNBELIEVERS,https://www.maxshimbaministries.org/2026/01/islam-is-religion-of-unbelievers.html,"January 01, 2026",islam,675,,
Rewritten Primary Question (Qur’an-Only Challenge),https://www.maxshimbaministries.org/2026/01/rewritten-primary-question-quran-only.html,"January 01, 2026",islam,379,,
Provocative Core Question (Primary Version),https://www.maxshimbaministries.org/2026/01/provocative-core-question-primary.html,"January 01, 2026",islam,387,,
Moderate Islam: The Most Successful Public Relations Campaign in Religious History,https://www.maxshimbaministries.org/2026/01/moderate-islam-most-successful-public.html,"January 01, 2026",islam,646,,
Jesus id greater than Muhammad because he is alive and Muhammad is dead,https://www.maxshimbaministries.org/2025/12/jesus-id-greater-than-muhammad-because.html,"December 30, 2025",muhammad,0,,
ISLAM NEVER EXISTED BEFORE THE BIRTH OF MUHAMMAD,https://www.maxshimbaministries.org/2025/12/islam-never-existed-before-birth-of.html,"December 26, 2025",islam,0,,
ISHMAEL WAS NEITHER AN ARAB NOR A MUSLIM,https://www.maxshimbaministries.org/2025/12/ishmael-was-neither-arab-nor-muslim.html,"December 26, 2025",muslim,0,,
ISLAM NEVER EXISTED BEFORE THE BIRTH OF MUHAMMAD,https://www.maxshimbaministries.org/2025/12/blog-post.html,"December 26, 2025",islam,0,,
Where is the Gospel of Jesus Son of Mary that Allah revealed before the Quran and the birth of Muhammad?,https://www.maxshimbaministries.org/2025/12/where-is-gospel-of-jesus-son-of-mary.html,"December 24, 2025",quran,0,,
"In the name of Allah, Muhammad, and Jibreel",https://www.maxshimbaministries.org/2025/12/in-name-of-allah-muhammad-and-jibreel.html,"December 23, 2025",islam,366,,
The Quranic Denial of Sonship Versus the Biblical Declaration of the Son,https://www.maxshimbaministries.org/2025/12/the-quranic-denial-of-sonship-versus.html,"December 23, 2025",islam,476,,
A Refutation: Why Allah’s Character (as Defined in Islam) Is Ungodly,https://www.maxshimbaministries.org/2025/12/a-refutation-why-allahs-character-as.html,"December 23, 2025",islam,500,,
Did Jibrāʾīl Meet Moses?,https://www.maxshimbaministries.org/2025/12/did-jibrail-meet-moses.html,"December 23, 2025",islam,811,,
Where is the evidence (actual instances) of Allah healing in the Qur’an—not mere claims or theological assertions?,https://www.maxshimbaministries.org/2025/12/where-is-evidence-actual-instances-of.html,"December 23, 2025",allah,322,,
"Side-by-side, text-based comparison between Biblical healing accounts and Qur’anic references",https://www.maxshimbaministries.org/2025/12/side-by-side-text-based-comparison.html,"December 23, 2025",allah,372,,
Who Brought the Religion of Islam?,https://www.maxshimbaministries.org/2025/12/who-brought-religion-of-islam.html,"December 23, 2025",islam,540,,
"If the Bible Is Corrupt, Where Is the Original? A Call for Evidence",https://www.maxshimbaministries.org/2025/12/if-bible-is-corrupt-where-is-original.html,"December 23, 2025",muslim,572,,
🛑 If the Bible is Corrupt… Where Is the Original?,https://www.maxshimbaministries.org/2025/12/if-bible-is-corrupt-where-is-original_23.html,"December 23, 2025",muslim,186,,
Old Testament Prophecies of the Messiah’s Sacrificial Death for Sin,https://www.maxshimbaministries.org/2025/12/old-testament-prophecies-of-messiahs.html,"December 23, 2025",islam,1204,,
Did the Old Testament Prophesy Jesus’ Death for the Forgiveness of Sins?,https://www.maxshimbaministries.org/2025/12/did-old-testament-prophesy-jesus-death.html,"December 23, 2025",islam,606,,
There Was No Islam Before the Birth of Muhammad,https://www.maxshimbaministries.org/2025/12/there-was-no-islam-before-birth-of.html,"December 23, 2025",islam,571,,
There Was No Islam Before the Birth of Muhammad,https://www.maxshimbaministries.org/2025/12/there-was-no-islam-before-birth-of_23.html,"December 23, 2025",islam,581,,
"If Muhammad is the final prophet, why does the Qur’an command belief in the Torah and the Gospel?",https://www.maxshimbaministries.org/2025/12/if-muhammad-is-final-prophet-why-does.html,"December 23, 2025",muslim,1988,,
The Paradox of Intoxicants in the Qur’an: An Apologetic Challenge,https://www.maxshimbaministries.org/2025/12/the-paradox-of-intoxicants-in-quran.html,"December 23, 2025",muslim,631,,
Where Do You Want to Spend Your Eternity?,https://www.maxshimbaministries.org/2025/12/where-do-you-want-to-spend-your-eternity.html,"December 23, 2025",islam,500,,
Allah: A God Who Demands Love but Does Not Love,https://www.maxshimbaministries.org/2025/12/allah-god-who-demands-love-but-does-not.html,"December 23, 2025",islam,631,,
"Why Do Muslims Use the Bible to Support the Prophecy of Muhammad, Son of Amina?",https://www.maxshimbaministries.org/2025/12/why-do-muslims-use-bible-to-support.html,"December 23, 2025",islam,584,,
A Scholarly Response to the Claim of “Unfulfilled Prophecies” in the Bible,https://www.maxshimbaministries.org/2025/12/a-scholarly-response-to-claim-of.html,"December 23, 2025",muslim,847,,
The Absence of Divine Verification in the Foundation of Islam: A Theological Appraisal of Jibril and Muhammad’s Prophetic Claims,https://www.maxshimbaministries.org/2025/12/the-absence-of-divine-verification-in.html,"December 23, 2025",islam,742,,
📚 Bible vs 📙 Quran – A Comparison,https://www.maxshimbaministries.org/2025/12/bible-vs-quran-comparison.html,"December 23, 2025",quran,424,,
A Critical Examination of Muhammad’s Claims About Allah’s Image,https://www.maxshimbaministries.org/2025/12/a-critical-examination-of-muhammads_23.html,"December 23, 2025",islam,578,,
Muhammad’s Urine and the Claim of Protection from Hellfire: A Critical Examination,https://www.maxshimbaministries.org/2025/12/muhammads-urine-and-claim-of-protection.html,"December 23, 2025",muhammad,614,,
Two Reasons Why Mohammed Is Not a Prophet,https://www.maxshimbaministries.org/2025/12/two-reasons-why-mohammed-is-not-prophet.html,"December 23, 2025",islam,619,,
Why Did Muhammad Turn Away from the Blind? A Theological Challenge to His Prophetic Claim,https://www.maxshimbaministries.org/2025/12/why-did-muhammad-turn-away-from-blind.html,"December 23, 2025",muhammad,581,,
The Danger of Following a Blind Man: Muhammad in Theological and Historical Critique,https://www.maxshimbaministries.org/2025/12/the-danger-of-following-blind-man.html,"December 23, 2025",muhammad,499,,
"Allah Never Said to Muhammad: “I Am God, Worship Me” — A Scholarly Debate Challenge to Islam",https://www.maxshimbaministries.org/2025/12/allah-never-said-to-muhammad-i-am-god.html,"December 23, 2025",islam,714,,
The Silence of Allah: A Scholarly Challenge to Islamic Claims of Divine Self-Disclosure,https://www.maxshimbaministries.org/2025/12/the-silence-of-allah-scholarly.html,"December 23, 2025",islam,645,,
The Purity of Water in Islamic Tradition: A Critical Examination of Hadith and Qur’anic Teachings,https://www.maxshimbaministries.org/2025/12/the-purity-of-water-in-islamic.html,"December 23, 2025",islam,718,,
MUHAMMAD IS A PROPHET WHO RECEIVED PROPHETHOOD THROUGH FEVER AND DIED OF FEVER,https://www.maxshimbaministries.org/2025/12/muhammad-is-prophet-who-received.html,"December 20, 2025",muhammad,511,,
"Exposing the Theological Problem of Islam: Prayer, Language, and the Absence of Divine Nearness",https://www.maxshimbaministries.org/2025/12/exposing-theological-problem-of-islam.html,"December 20, 2025",islam,470,,
"Age, Authority, and Consistency in Early Islamic Marriage Narratives: A Critical Examination",https://www.maxshimbaministries.org/2025/12/age-authority-and-consistency-in-early.html,"December 20, 2025",islam,516,,
Muhammad’s Marital History and the Question of Moral Exemplarship,https://www.maxshimbaministries.org/2025/12/muhammads-marital-history-and-question.html,"December 20, 2025",islam,574,,
"Cucumbers, Bananas, and the Crisis of Gendered Morality in Islam",https://www.maxshimbaministries.org/2025/12/cucumbers-bananas-and-crisis-of.html,"December 20, 2025",islam,4140,,
The Paradox of Paternal Authority and Spiritual Maternity in Islam: A Theological and Logical Examination of Qur’an 33:6 and 33:40,https://www.maxshimbaministries.org/2025/12/the-paradox-of-paternal-authority-and_20.html,"December 20, 2025",islam,955,,
